Gene Description	Gene Accession Number	HL60_0_hrs	call	HL60_0.5_hrs	call	HL60_4_hrs	call	HL60_24_hrs	call	U937_0_hrs	call	U937_0.5_hrs	call	U937_4_hrs	call	U937_24_hrs	call	NB4_0_hrs	call	NB4_5.5_hrs	call	NB4_24_hrs	call	NB4_48_hrs	call	NB4_72_hrs	call	Jurkat_0_hrs	call	Jurkat_0.5_hrs	call	Jurkat_4_hrs	call	Jurkat_24_hrs	call
"ELK4 SRF accessory protein 1B (SAP-1)"	H61758	2	A	3	A	5	A	-3	A	2	A	3	A	-1	A	1	A	5	A	-2	A	1	A	-1	A	2	A	10	A	7	A	8	A	2	A
"ESTs, Highly  similar to ZINC FINGER PROTEIN ZFP-36 [Homo sapiens]"	H61816	4	A	-9	A	-7	A	-1	A	2	A	-1	A	2	A	-7	A	10	A	4	A	4	A	2	A	-2	A	10	A	13	A	13	P	17	P
"ESTs, Moderately  similar to PROTEIN KINASE YAK1 [Saccharomyces cerevisiae]"	H62029	4	A	-1	A	12	A	1	A	6	A	-2	A	8	A	2	A	5	A	0	A	1	A	1	A	2	A	10	P	1	A	10	A	11	P
"No cluster in current Unigene and no Genbank entry for H62177 (qualifier H62177)"	H62177	-3	A	-18	A	9	A	9	A	5	A	4	A	-3	A	14	A	1	A	3	A	0	A	3	A	0	A	12	A	9	A	4	A	5	A
"TST Thiosulfate sulfurtransferase (rhodanese)"	H62245	76	P	111	P	83	P	28	P	88	P	53	P	102	P	61	P	106	P	78	P	75	P	70	P	59	P	117	P	116	P	103	P	96	P
"ESTs, Weakly similar to gp330 precursor [H.sapiens]"	H62365	144	P	234	P	160	P	28	A	29	P	39	P	41	P	15	A	271	P	230	P	83	P	143	P	71	P	120	P	127	P	92	P	67	P
"Fb19 mRNA"	H62380	21	P	49	P	45	P	44	P	7	A	7	A	10	A	8	A	21	P	21	A	27	P	19	P	15	P	26	A	11	A	1	A	27	P
"ESTs, Highly  similar to COLLAGEN ALPHA 3(VI) CHAIN PRECURSOR [Gallus gallus]"	H62466	-10	A	0	A	1	A	21	P	-4	A	1	A	-14	A	-2	A	-4	A	0	A	-7	A	-3	A	-4	A	-7	A	-17	A	-6	A	-9	A
"COMPLEMENT C3 PRECURSOR"	H62528	8	A	-13	A	2	A	4	A	7	A	5	A	-5	A	13	A	0	A	5	A	4	A	10	A	5	A	19	A	7	A	0	A	7	A
"No cluster in current Unigene and no Genbank entry for H62531 (qualifier H62531)"	H62531	13	A	12	A	13	A	13	A	8	A	9	A	-6	A	7	A	8	A	3	A	5	A	6	A	1	A	3	A	12	A	10	A	7	A
"PRE-MRNA SPLICING FACTOR SF2, P32 SUBUNIT PRECURSOR"	H62535	18	A	11	A	23	P	20	A	21	P	6	A	2	A	10	A	6	A	4	A	6	A	9	A	-1	A	30	A	18	P	28	P	14	A
"NUCLEOLIN"	H62556	130	P	113	P	206	P	29	A	125	P	176	P	201	P	36	P	88	P	46	P	60	P	49	P	61	P	186	P	103	P	104	P	16	P
"No cluster in current Unigene and no Genbank entry for H62826 (qualifier H62826_f)"	H62826_f	3	A	0	A	-1	A	21	A	17	A	-8	A	0	A	11	A	2	A	6	A	4	A	3	A	-2	A	12	A	10	A	17	A	4	A
"No cluster in current Unigene and no Genbank entry for H62826 (qualifier H62826_i)"	H62826_i	-44	A	-3	A	-32	A	-92	A	-15	A	-54	A	-57	A	14	A	-40	A	-13	A	-15	A	-20	A	-24	A	-18	A	-45	A	-19	A	-53	A
"No cluster in current Unigene and no Genbank entry for H62828 (qualifier H62828)"	H62828	7	A	18	M	11	A	62	P	6	A	11	A	20	A	6	A	-3	A	7	A	7	A	10	A	14	P	24	P	11	A	12	P	26	P
"No cluster in current Unigene and no Genbank entry for H62835 (qualifier H62835)"	H62835	-5	A	2	A	-13	A	-3	A	0	A	2	A	2	A	1	A	-2	A	0	A	-2	A	-2	A	-2	A	4	A	0	A	-3	A	-6	A
"ESTs, Highly  similar to NUCLEAR AUTOANTIGEN SP-100 [Homo sapiens]"	H62844	-6	A	-7	A	-7	A	-9	A	-2	A	-3	A	-1	A	5	P	0	A	1	A	7	A	44	P	105	P	14	P	12	A	14	P	20	P
"XK Kell blood group precursor (McLeod phenotype)"	H62851	13	A	20	A	13	A	-1	A	3	A	2	A	2	A	6	A	11	A	9	A	4	A	9	A	-4	A	4	A	2	A	5	A	9	A
"CTSS Cathepsin S"	H62854	24	P	29	M	60	P	75	P	17	P	17	P	16	P	41	P	24	P	50	P	108	P	75	P	306	P	-2	A	5	A	-3	A	4	A
"No cluster in current Unigene and no Genbank entry for H62860 (qualifier H62860)"	H62860	-2	A	3	A	5	A	3	A	5	A	1	A	0	A	1	A	2	A	-1	A	5	A	3	A	1	A	2	A	3	A	3	A	8	A
"No cluster in current Unigene and no Genbank entry for H62885 (qualifier H62885)"	H62885	27	A	9	A	25	A	35	A	14	A	16	A	21	A	24	P	9	A	9	A	16	A	15	A	8	A	19	A	27	A	10	A	15	A
"No cluster in current Unigene and no Genbank entry for H63086 (qualifier H63086)"	H63086	-9	A	0	A	-3	A	-2	A	0	A	6	A	2	A	4	A	5	A	0	A	1	A	1	A	3	A	7	A	9	A	5	A	1	A
"No cluster in current Unigene and no Genbank entry for H63094 (qualifier H63094)"	H63094	3	A	5	A	-1	A	27	P	0	A	6	A	7	A	0	A	7	A	-2	A	0	A	4	A	5	A	12	A	5	A	0	A	9	A
"ESTs"	H63116	-6	A	-13	A	-17	A	-8	A	-7	A	-3	A	0	A	4	A	-5	A	-4	A	-1	A	-6	A	-2	A	9	A	-2	A	10	A	-10	A
"ESTs"	H63354	7	A	22	P	32	P	21	M	13	P	23	P	25	P	15	P	14	P	6	A	9	A	10	A	14	A	48	P	45	P	59	P	49	P
"EIF2B Eukaryotic translation initiation factor 2B (eIF-2B) alpha subunit"	H63361	-1	A	-1	A	9	A	3	A	7	A	1	A	1	A	-3	A	-3	A	4	A	1	A	4	A	3	A	8	A	1	A	1	A	-1	A
"No cluster in current Unigene and no Genbank entry for H63737 (qualifier H63737)"	H63737	-7	A	1	A	1	A	-9	A	3	A	0	A	3	A	3	A	-6	A	4	A	-2	A	4	A	-1	A	0	A	5	A	-4	A	-8	A
"ESTs"	H63780	9	A	1	A	4	A	-3	A	0	A	3	A	2	A	-2	A	8	A	1	A	3	A	2	A	3	A	-2	A	-4	A	3	A	11	A
"ESTs, Highly  similar to CELL SURFACE GLYCOPROTEIN A15 [Homo sapiens]"	H64001	-20	A	-12	A	-33	A	-37	A	-22	A	-13	A	-20	A	-17	A	-8	A	-8	A	-9	A	-9	A	-8	A	-22	A	-19	A	-18	A	-25	A
"No cluster in current Unigene and no Genbank entry for H64009 (qualifier H64009)"	H64009	3	A	7	A	0	A	-13	A	4	A	-3	A	1	A	-6	A	5	A	1	A	0	A	4	A	0	A	-2	A	2	A	1	A	2	A
"ESTs"	H64141	7	A	5	A	4	A	2	A	3	A	1	A	2	A	7	A	3	A	-1	A	1	A	0	A	0	A	9	A	1	A	7	A	13	A
"No cluster in current Unigene and no Genbank entry for H64172 (qualifier H64172)"	H64172	-2	A	-2	A	14	A	-30	A	-5	A	4	A	-9	A	-15	A	-5	A	-3	A	-3	A	2	A	-3	A	-11	A	-5	A	-7	A	-1	A
"LIPC Lipase, hepatic"	H64259	-2	A	0	A	-7	A	1	A	2	A	-5	A	-1	A	1	A	0	A	6	A	4	A	8	A	8	A	4	A	-2	A	-6	A	-6	A
"ESTs, Highly  similar to 5'-AMP-ACTIVATED PROTEIN KINASE, GAMMA-1 SUBUNIT [Rattus norvegicus]"	H64261	6	A	6	A	3	A	8	A	3	A	8	A	8	A	5	A	-1	A	5	A	2	A	7	A	8	A	17	A	8	P	23	P	15	P
"ESTs, Weakly similar to Ras guanine nucleotide exchange factor son-of-sevenless [H.sapiens]"	H64325	-3	A	3	A	0	A	-2	A	2	A	7	A	0	A	-3	A	-3	A	3	A	3	A	-1	A	3	A	8	A	4	A	0	A	-1	A
"APOH Apolipoprotein H"	H64328	6	A	8	A	7	A	0	A	3	A	2	A	4	A	1	A	-1	A	2	A	2	A	1	A	5	A	3	A	1	A	2	A	2	A
"Snk interacting protein 2-28 mRNA"	H64398	519	P	667	P	561	P	535	P	246	P	397	P	371	P	280	P	328	P	429	P	382	P	396	P	321	P	403	P	407	P	338	P	464	P
"ESTs, Weakly similar to M01E11.2 [C.elegans]"	H64423	33	P	12	A	14	A	19	A	47	P	89	P	107	P	63	P	21	P	36	P	34	P	24	P	36	P	135	P	138	P	144	P	171	P
"RPL17 Ribosomal protein L7"	H64427	16	P	20	P	18	A	-4	A	66	P	18	A	21	P	51	P	3	A	9	A	6	A	5	A	1	A	71	P	24	P	85	P	20	P
"ESTs, Weakly similar to CD63 ANTIGEN [H.sapiens]"	H64489	-29	A	-44	A	-41	A	-84	A	-21	A	-21	A	-29	A	-26	A	-35	A	-10	A	-7	A	-16	A	-10	A	-8	A	-18	A	-8	A	-22	A
"IG ALPHA-2 CHAIN C REGION"	H64505	17	A	19	A	8	A	26	A	9	A	12	A	18	A	8	A	2	A	11	A	6	A	12	A	1	A	10	A	9	A	10	A	11	A
"TYROSINE-PROTEIN KINASE RECEPTOR ECK PRECURSOR"	H64526	44	P	43	A	52	P	15	A	25	M	10	A	44	M	41	P	13	A	-7	A	23	P	18	A	17	A	39	M	29	A	35	A	48	P
"S100A2 gene, exon 1, 2 and 3"	H64555	-5	A	9	A	18	A	5	A	16	A	14	A	10	A	14	A	3	A	-9	A	3	A	5	A	11	A	6	A	8	A	6	A	26	A
"ELP-1 mRNA sequence"	H64564	30	P	40	P	33	P	36	P	18	P	29	P	43	P	22	P	3	A	18	P	19	P	12	A	14	P	15	P	23	P	20	P	7	A
"No cluster in current Unigene and no Genbank entry for H64576 (qualifier H64576)"	H64576	11	A	0	A	1	A	8	A	6	A	6	A	9	A	12	P	13	A	-4	A	5	A	2	A	2	A	19	P	8	A	10	A	6	A
"No cluster in current Unigene and no Genbank entry for H64807 (qualifier H64807)"	H64807	4	A	3	A	2	A	-19	A	-2	A	0	A	1	A	12	M	-13	A	-8	A	1	A	1	A	0	A	-9	A	-1	A	2	A	-5	A
"HLA-DPB1 Major histocompatibility complex, class II, DP beta 1"	H64819	-3	A	-12	A	-6	A	-12	A	11	A	1	A	-9	A	1	A	-3	A	-5	A	-7	A	-2	A	3	A	3	A	-4	A	-5	A	1	A
"No cluster in current Unigene and no Genbank entry for H64836 (qualifier H64836)"	H64836	9	A	11	A	6	A	-40	A	-2	A	3	A	3	A	2	A	1	A	5	A	1	A	12	A	7	A	-3	A	3	A	-1	A	0	M
"No cluster in current Unigene and no Genbank entry for H65017 (qualifier H65017)"	H65017	7	A	10	A	14	A	12	M	7	A	4	A	12	A	0	A	1	A	5	A	4	A	4	A	8	A	10	A	6	A	8	A	12	A
"60-kdal ribonucleoprotein (Ro) mRNA"	H65019	29	P	23	P	75	P	77	P	16	P	84	P	47	P	28	P	23	P	20	P	27	P	21	P	23	P	55	P	39	P	64	P	19	P
"VSNL1 Visinin-like 1"	H65066_f	-6	A	7	A	4	A	5	A	3	A	2	A	0	A	4	A	8	A	2	A	2	A	-1	A	-4	A	-2	A	-3	A	8	A	5	A
"GTP binding protein (ARL3) mRNA"	H65087	-5	A	2	A	-7	A	-8	A	0	A	-2	A	-5	A	-10	A	9	A	0	A	-19	A	-12	A	-9	A	5	A	-1	A	-2	A	-2	A
"Bumetanide-sensitive Na-K-Cl cotransporter (NKCC1) mRNA"	H65116	4	A	3	A	4	A	1	A	4	A	10	A	5	A	0	A	6	A	11	A	8	A	4	A	4	A	5	A	-2	A	2	A	6	A
"RPL32 Ribosomal protein L32"	H65117	-10	A	14	A	-7	A	10	A	6	A	6	A	11	A	10	A	21	P	42	P	2	M	62	P	40	P	-5	A	7	A	11	A	8	A
"ESTs"	H65121	63	P	62	P	101	P	117	P	8	P	23	P	22	P	16	P	7	A	20	A	9	A	10	M	13	A	37	P	32	P	38	P	21	P
"SIGNAL TRANSDUCER AND ACTIVATOR OF TRANSCRIPTION 1-ALPHA/BETA"	H65182	95	P	80	P	86	P	47	P	15	A	39	P	31	P	58	P	87	P	72	P	141	P	535	P	1077	P	32	P	38	P	79	P	73	P
"ESTs"	H65187	-3	A	-2	A	-7	A	-10	A	0	A	4	A	-1	A	3	A	0	A	-2	A	0	A	0	A	4	A	2	A	0	A	1	A	-2	A
"ESTs, Highly  similar to AFLATOXIN B1 ALDEHYDE REDUCTASE [Rattus norvegicus]"	H65223	341	P	308	P	224	P	189	P	65	P	103	P	153	P	81	P	51	P	52	P	53	P	65	P	55	P	303	P	275	P	270	P	247	P
"No cluster in current Unigene and no Genbank entry for H65327 (qualifier H65327)"	H65327	8	A	15	A	4	A	10	A	3	A	11	A	14	A	8	A	5	A	2	A	3	A	5	A	7	A	19	P	12	A	7	A	9	A
"ESTs"	H65354	8	A	22	M	1	A	1	A	2	A	1	A	2	A	8	A	8	A	1	A	1	A	2	A	5	A	11	A	6	A	3	A	6	P
"ANX2 Annexin II (lipocortin II)"	H65355	55	P	23	P	40	P	170	P	72	P	219	P	149	P	474	P	23	P	17	P	7	A	9	P	16	P	12	P	10	P	17	P	19	P
"ITGB1 Integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"	H65425	21	P	12	P	17	P	24	P	10	A	23	P	24	P	44	P	3	A	1	A	9	A	12	A	18	P	21	A	19	P	27	P	25	P
"No cluster in current Unigene and no Genbank entry for H65441 (qualifier H65441)"	H65441	7	A	21	A	5	A	5	A	0	A	4	A	20	P	1	A	7	A	-2	A	5	A	4	A	8	A	3	A	4	A	3	A	2	A
"APOB Apolipoprotein B"	H65482	-16	A	-11	A	-5	A	-3	A	6	A	-5	A	-8	A	18	P	-3	A	-8	A	2	A	5	A	-5	A	-1	A	3	A	-3	A	0	A
"No cluster in current Unigene and no Genbank entry for H65488 (qualifier H65488)"	H65488	-10	A	-12	A	2	A	-10	A	-7	A	-3	A	-3	A	-2	A	-1	A	-5	A	-2	A	-3	A	-3	A	3	A	-4	A	1	A	0	A
"ESTs"	H65605	-14	A	-42	A	-14	A	-47	A	-8	A	-7	A	-1	A	-6	A	-3	A	-1	A	-9	A	-9	A	-10	A	-18	A	-35	A	-13	A	-5	A
"ESTs"	H65662	-35	A	-137	A	10	A	-150	A	-30	A	-23	A	-61	A	-29	A	-40	A	-20	A	-24	A	-7	A	-15	A	6	A	-16	A	-6	A	-26	A
"No cluster in current Unigene and no Genbank entry for H65732 (qualifier H65732)"	H65732	6	A	-2	A	2	A	-6	A	4	A	-2	A	4	A	-4	A	5	A	2	A	3	A	0	A	6	A	-3	A	1	A	1	A	0	A
"CYSTATIN B"	H65823	173	P	201	P	145	P	816	P	246	P	288	P	205	P	714	P	53	P	92	P	106	P	114	P	111	P	258	P	267	P	241	P	360	P
"ESTs, Highly similar to adipocyte acid phosphatase alpha, HAAP alpha {C-terminal} {EC 3.1.3.2} [H.sapiens]"	H65842	159	P	109	P	180	P	142	P	98	P	201	P	188	P	90	P	21	P	48	P	46	P	40	P	36	P	290	P	281	P	206	P	317	P
"AFP Alpha-fetoprotein"	H65870	5	A	-2	A	10	A	12	A	-1	A	-2	A	1	A	-3	A	6	A	0	A	1	A	0	A	-2	A	6	A	3	A	4	A	6	A
"MAX MAX protein"	H65986	2	A	38	M	22	P	3	A	6	A	-6	A	16	A	7	A	14	A	19	P	11	A	16	A	12	A	10	A	9	A	7	A	18	A
"ESTs"	H66005	24	P	27	A	9	A	26	A	12	A	8	A	12	A	21	A	-3	A	6	A	12	A	6	A	12	A	22	A	27	A	21	A	15	A
"No cluster in current Unigene and no Genbank entry for H66153 (qualifier H66153)"	H66153	-11	A	-10	A	-14	A	-12	A	-2	A	-5	A	-3	A	1	A	-7	A	-4	A	0	A	-4	A	-8	A	-2	A	3	A	-2	A	-7	A
"F5 Coagulation factor V"	H66316	3	A	5	A	0	A	-21	A	-1	A	1	A	2	A	0	A	4	A	1	A	0	A	-1	A	-2	A	1	A	-2	A	-1	A	3	A
"No cluster in current Unigene and no Genbank entry for H66332 (qualifier H66332)"	H66332	-5	A	-11	A	-12	A	-11	A	-7	A	-8	A	-10	A	-8	A	-8	A	-3	A	-4	A	-5	A	-7	A	-8	A	-6	A	-9	A	-11	A
"C8B Complement component 8, beta polypeptide"	H66340	-13	A	-12	A	-3	A	16	A	-12	A	-13	A	-15	A	-7	A	-6	A	-36	A	-48	A	-42	A	-28	A	-4	A	0	A	-3	A	-4	A
"Protein kinase (JNK2) mRNA"	H66363	9	A	10	A	8	A	21	P	1	A	7	A	-4	A	8	A	10	A	16	A	12	A	1	A	15	P	27	P	20	P	18	P	4	A
"No cluster in current Unigene and no Genbank entry for H66490 (qualifier H66490)"	H66490	7	A	12	P	-2	A	8	M	6	A	2	A	7	A	1	A	-3	A	3	A	1	A	1	A	0	A	8	A	4	A	1	A	9	A
"ESTs"	H66786	-3	A	-1	A	1	A	-8	A	0	A	3	A	-1	A	7	A	-2	A	-3	A	1	A	-5	A	-3	A	11	A	-1	A	1	A	2	A
"No cluster in current Unigene and no Genbank entry for H66832 (qualifier H66832)"	H66832	-17	A	-8	A	-21	A	-8	A	-6	A	-12	A	-7	A	1	A	-7	A	-8	A	-8	A	-6	A	-10	A	-20	A	-10	A	-7	A	-11	A
"ESTs, Highly  similar to PROTEIN-TYROSINE PHOSPHATASE MEG1 [Homo sapiens]"	H66834	-5	A	-18	A	4	A	3	A	3	A	2	A	4	A	6	A	-2	A	1	A	-1	A	-1	A	-1	A	12	A	0	A	9	A	3	A
"EPB42 Erythrocyte membrane protein band 4.2"	H66974	-11	A	-21	A	0	A	-18	A	-8	A	-5	A	-14	A	-13	A	-22	A	-10	A	-10	A	-8	A	-12	A	-16	A	-18	A	-8	A	-19	A
"MHC class II HLA-SB-alpha gene (DRw6,w6), mRNA"	H66976	4	A	8	A	0	A	3	A	6	A	5	A	11	P	4	A	1	A	1	A	6	A	3	A	2	A	8	A	5	A	8	A	6	A
"No cluster in current Unigene and no Genbank entry for H67026 (qualifier H67026)"	H67026	30	P	15	P	19	P	8	A	14	A	42	P	49	P	12	A	13	A	6	A	26	P	11	A	19	A	57	P	29	P	27	P	29	P
"ESTs, Moderately similar to TRANSCRIPTION INITIATION FACTOR IIA GAMMA CHAIN [H.sapiens]"	H67092	7	A	-5	A	1	A	-3	A	-7	A	-5	A	-9	A	2	A	-5	A	1	A	0	A	-4	A	-5	A	-13	A	-4	A	-2	A	1	A
"RANBP1 RAN binding protein 1"	H67367	59	P	77	P	68	P	8	A	102	P	160	P	138	P	22	P	58	P	81	P	80	P	74	P	41	P	102	P	139	P	120	P	57	P
"No cluster in current Unigene and no Genbank entry for H67370 (qualifier H67370_f)"	H67370_f	-5	A	-2	A	0	A	0	A	1	A	3	A	0	A	-5	A	-2	A	4	A	0	A	0	A	1	A	2	A	-1	A	-2	A	-6	A
"No cluster in current Unigene and no Genbank entry for H67370 (qualifier H67370_i)"	H67370_i	-1	A	1	A	5	A	0	A	-3	A	0	A	10	A	3	A	7	A	7	A	0	A	2	A	3	A	4	A	-2	A	0	A	2	A
"ESTs"	H67547	5	A	0	A	-4	A	21	P	2	A	3	A	8	A	4	A	7	A	6	A	4	A	2	A	3	A	-2	A	7	A	-1	A	6	A
"No cluster in current Unigene and no Genbank entry for H67551 (qualifier H67551)"	H67551	4	A	10	P	-3	A	-11	A	0	A	5	A	2	A	0	A	1	A	1	A	4	A	1	A	4	A	6	A	8	A	2	A	6	A
"CAMLG Calcium modulating ligand"	H67568	53	P	19	A	44	P	47	P	41	P	47	P	38	P	28	P	156	P	115	P	72	P	52	P	75	P	120	P	158	P	145	P	98	P
"No cluster in current Unigene and no Genbank entry for H67764 (qualifier H67764_f)"	H67764_f	2	A	4	A	2	A	9	A	19	A	14	A	8	A	31	P	7	A	-3	A	21	A	6	A	5	A	28	A	18	A	19	A	26	A
"No cluster in current Unigene and no Genbank entry for H67764 (qualifier H67764_i)"	H67764_i	7	A	-2	A	-4	A	8	A	12	A	6	A	6	A	33	P	-8	A	-4	A	19	A	7	A	0	A	40	P	26	A	26	A	12	A
"EST, Moderately similar to brain acyl-CoA synthtase II [R.norvegicus]"	H67886	8	A	-3	A	11	A	6	A	0	A	14	A	4	A	10	A	9	A	-1	A	9	A	14	P	31	P	7	A	0	A	12	A	3	P
"ESTs, Highly  similar to ARYL SULFOTRANSFERASE [Rattus norvegicus]"	H67893	33	P	78	P	54	P	67	P	52	P	107	P	73	P	90	P	40	P	85	P	62	P	11	A	41	P	103	P	74	P	43	P	71	P
"ESTs, Weakly similar to !!!! ALU SUBFAMILY J WARNING ENTRY !!!! [H.sapiens]"	H67899	16	A	9	A	3	A	1	A	3	A	4	A	3	A	4	A	6	A	3	A	2	A	1	A	5	A	3	A	8	A	7	A	2	A
"No cluster in current Unigene and no Genbank entry for H67901 (qualifier H67901)"	H67901	1	A	1	A	8	A	18	A	3	A	1	A	1	A	0	A	2	A	-1	A	1	A	2	A	1	A	3	A	8	A	5	A	-1	A
"KIAA0332 gene, partial cds"	H68165	76	P	70	P	73	P	45	P	19	P	32	P	42	P	30	P	12	A	19	P	25	P	13	P	31	P	74	P	67	P	71	P	42	P
"FAU Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived)"	H68220	3667	P	3593	P	3494	P	4166	P	644	P	994	P	932	P	458	P	1136	P	1754	P	1217	P	861	P	935	P	2072	P	2251	P	1852	P	1921	P
"ESTs"	H68239	6	A	11	A	11	A	7	A	2	A	-4	A	1	A	2	A	3	A	3	A	-3	A	1	A	-7	A	27	A	26	P	36	P	19	P
"ESTs, Weakly similar to F35G12.4 [C.elegans]"	H68358	-4	A	4	A	11	A	-30	A	2	A	-4	A	-6	A	-8	A	4	A	3	A	0	A	2	A	-1	A	0	A	-7	A	11	P	-12	A
"No cluster in current Unigene and no Genbank entry for H68366 (qualifier H68366)"	H68366	-11	A	-35	A	-4	A	-43	A	18	A	17	A	14	A	2	A	-9	A	-5	A	1	A	2	A	-1	A	20	A	3	A	30	P	9	A
"Transcription factor LSF mRNA"	H68374	13	P	2	A	10	A	13	P	5	A	7	A	-3	A	6	A	6	A	23	P	22	P	5	A	19	P	5	A	-1	A	6	A	0	A
"No cluster in current Unigene and no Genbank entry for H68520 (qualifier H68520)"	H68520	-6	A	-9	A	2	A	-3	A	5	A	0	A	3	A	-1	A	-3	A	0	A	1	A	1	A	3	A	4	A	0	A	-8	A	6	A
"EST"	H68719	2	A	1	A	6	A	1	A	-7	A	-1	A	-2	A	-4	A	1	A	-2	A	-1	A	1	A	-4	A	-3	A	1	A	1	A	2	A
"ORPHAN RECEPTOR TR2"	H68838	-2	A	-10	A	8	A	5	A	1	A	1	A	1	A	7	A	0	A	4	A	5	A	3	A	3	A	4	A	5	A	-1	A	13	P
"No cluster in current Unigene and no Genbank entry for H68922 (qualifier H68922)"	H68922	-6	A	-7	A	-4	A	-16	A	0	A	-10	A	-6	A	-2	A	-7	A	-5	A	-1	A	-2	A	-3	A	-5	A	-2	A	3	A	0	A
"ESTs"	H69078	-2	A	-7	A	-9	A	-19	A	1	A	-9	A	-13	A	-5	A	-10	A	-2	A	0	A	1	A	1	A	9	A	-5	A	-2	A	5	A
"No cluster in current Unigene and no Genbank entry for H69167 (qualifier H69167)"	H69167	-7	A	2	A	-2	A	-11	A	-3	A	-6	A	-5	A	0	A	-1	A	-2	A	-1	A	2	A	-1	A	2	A	-1	A	0	A	3	A
"PUTATIVE RECEPTOR PROTEIN"	H69184_f	-2	A	-4	A	9	A	-25	A	-5	A	0	A	-5	A	1	A	-7	A	-3	A	-4	A	-5	A	4	A	12	A	7	A	-1	A	5	A
"PUTATIVE RECEPTOR PROTEIN"	H69184_i	60	P	7	A	65	P	58	A	44	P	19	P	46	P	52	P	36	M	19	M	15	P	26	M	22	M	69	P	74	P	65	P	73	P
"TF Transferrin"	H69296	2	A	-2	A	8	A	5	A	-4	A	2	A	1	A	0	A	-3	A	4	A	2	A	1	A	1	A	3	A	10	A	2	A	0	A
"No cluster in current Unigene and no Genbank entry for H69351 (qualifier H69351)"	H69351	1	A	-2	A	-3	A	13	A	-1	A	5	A	-3	A	-3	A	6	A	2	A	2	A	-2	A	1	A	0	A	2	A	1	A	4	A
"ESTs, Highly similar to CARS-Cyp [H.sapiens]"	H69521	49	P	76	P	62	P	93	P	20	P	14	P	26	P	16	P	48	P	58	P	85	P	78	P	75	P	99	P	80	P	88	P	28	P
"ESTs"	H69674	9	A	11	A	3	A	20	P	-4	A	1	A	-3	A	4	A	3	A	6	A	5	A	3	A	-1	A	8	A	5	A	18	P	11	A
"ESTs, Highly  similar to ELONGATION FACTOR G [Thermus aquaticus thermophilus]"	H69681	10	A	-2	A	14	A	8	A	1	A	0	A	12	A	-2	A	12	A	0	A	0	A	1	A	-1	A	-5	A	-3	A	8	A	1	A
"ESTs"	H69695	-2	A	-35	A	-2	A	-57	A	-5	A	-8	A	-16	A	1	A	-6	A	-4	A	-4	A	-13	A	-7	A	-20	A	-14	A	0	A	-13	A
"GYPA Glycophorin A"	H69716	7	A	12	A	17	P	9	A	3	A	8	A	8	A	4	A	13	A	5	A	-1	A	1	A	2	A	7	A	5	A	7	A	7	A
"ESTs, Highly  similar to CYCLIN-DEPENDENT KINASE 6 INHIBITOR [Homo sapiens]"	H69744	16	A	16	A	13	A	12	A	32	P	16	A	49	P	12	A	-8	A	8	A	18	P	19	P	22	P	114	P	88	P	88	P	79	P
"ESTs"	H69819	2	A	-8	A	-3	A	-28	A	16	A	-2	A	-1	A	16	A	-1	A	-3	A	0	A	-6	A	-12	A	-23	A	-6	A	3	A	-1	A
"KININOGEN, LMW PRECURSOR"	H69834	14	A	-3	A	-8	A	-1	A	-4	A	-1	A	0	A	2	A	9	A	7	A	0	A	-1	A	0	A	-1	A	-3	A	3	A	-2	A
"PACE4 Paired basic amino acid cleaving system 4"	H69843_f	15	A	36	M	32	M	48	P	9	A	3	A	7	A	31	P	4	A	17	A	0	A	29	A	7	A	14	P	1	A	6	A	13	A
"PACE4 Paired basic amino acid cleaving system 4"	H69843_i	5	A	31	P	19	A	22	P	5	A	5	A	5	A	9	A	0	A	2	A	-17	A	0	A	4	A	13	A	0	A	13	A	0	A
"PACE4 Paired basic amino acid cleaving system 4"	H69843_r_i	9	A	23	A	20	P	55	P	-1	A	-4	A	4	A	22	P	-11	A	4	A	-5	A	-13	A	2	A	14	A	5	A	4	A	4	A
"No cluster in current Unigene and no Genbank entry for H69867 (qualifier H69867)"	H69867	-4	A	-14	A	-17	A	-8	A	-5	A	-2	A	-4	A	-7	A	-2	A	-1	A	-2	A	1	A	-1	A	-1	A	-7	A	-8	A	-12	A
"EST, Highly  similar to CLATHRIN LIGHT CHAIN A [Bos taurus]"	H69869	557	P	698	P	773	P	564	P	293	P	445	P	518	P	428	P	256	P	406	P	401	P	300	P	359	P	356	P	311	P	334	P	263	P
"PRKCD Protein kinase C, delta"	H69872	170	P	161	P	169	P	212	P	83	P	113	P	173	P	202	P	49	P	80	P	95	P	116	P	130	P	67	P	53	P	78	P	85	P
"No cluster in current Unigene and no Genbank entry for H69878 (qualifier H69878)"	H69878	-1	A	2	A	-1	A	-2	A	0	A	2	A	3	A	0	A	-4	A	-3	A	-1	A	-2	A	-2	A	5	A	1	A	1	A	-10	A
"No cluster in current Unigene and no Genbank entry for H70250 (qualifier H70250)"	H70250	17	A	17	M	4	A	27	A	12	A	12	P	9	A	19	P	5	A	5	A	5	A	9	A	2	A	26	A	20	A	34	P	24	P
